Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
ARCH A115,Architectural Design/Theory 1,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A121,FrameCAD Studio 1,,,,X,X,,,,,,,X,"3.1, 3.9",,,X,,X,,X,,
ARCH A122,FrameCAD Studio 2,,,,X,X,,,,,,,X,"3.1, 3.9",,,X,,X,,X,,
ARCH A141,Introduction to Resource Management,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A142,Environmental Advocacy,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A143,Resource Management and Zero Waste for Communities,,,,X,X,,,,,,,,,,,X,,X,,X,,
ARCH A144,Resource Management and Zero Waste for Business,,,,X,X,,,,,,,,,,,X,,X,,X,,
ARCH A150,CAD 2-D for Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A155,BIM 1 for Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A156,BIM 2 for Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A157,BIM Multidisciplinary,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A158,BIM Project Integration,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A160,3-D Modeling: SketchUp 1,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A162,3-D Modeling: Rhino 1,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A163,3-D Modeling: Rhino 2,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A165,Presentation Graphics,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A167,Presentation Video,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A170,Intro to Design Fabrication,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A171,Design Fabrication 1,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A172,Design Fabrication 2,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A180,Architecturl Constructn Docs,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
